no,group_en,group_kh,sub_group_en,sub_group_kh,question_en,question_kh,unit_en,unit_kh
1,,,,,,ចំនួនសមាជិកក្រុមប្រឹក្សាឃុំសង្កាត់,,នាក់
2,,,,,,ចំនួនមេភូមិ,,នាក់
3,,,,,,ចំនួនទីតាំងមីក្រូហិរញ្ញវត្ថុ,,កន្លែង
4,,,,,,ចំនួនធនាគារ,,កន្លែង
5,,,,,,ចំនួនមនុស្សបានខ្ចីលុយពីមីក្រូហិរញ្ញវត្ថុនិងធនាគារ (កត់ត្រាតឃុំសង្កាត់បានដឹង),,នាក់
6,,,,,,ទំហំផ្ទៃដីឃុំសង្កាត់សរុប,,ហ.ត
7,,,,,,ផ្ទៃដីលំនៅដ្ឋាន,,ហ.ត
8,,,,,,ផ្ទៃដីធ្វើស្រែ,,ហ.ត
:8,1:,,ក្នុងនោះ,,,,ផ្ទៃដីធ្វើស្រែប្រាំង,,ហ.ត
:8,2:,,,,,,ផ្ទៃដីធ្វើស្រែវស្សា,,ហ.ត
9,,,,,,ផ្ទៃដីធ្វើចំការ,,ហ.ត
:9,1:,,ក្នុងនោះ,,,,ផ្ទៃដីធ្វើចំការរយៈពេលខ្លី,,ហ.ត
:9,2:,,ក្នុងនោះ,,,,ផ្ទៃដីធ្វើចំការរយៈពេលវែង(ដំណាំយុទ្ធសាស្ត),,ហ.ត
10,,,,,,ផ្ទៃដីផ្សេងៗ(ដីព្រៃ បឹង ....),,ហ.ត
11,,ការងារផលិតអំបិល,,,,សរុបផ្ទៃដីសផលិតអំបិល,,ហ.ត
12,,ការងារផលិតអំបិល,,,,ទិន្នផលអំបិលជាមធ្យមក្នុងមួយហិកតា,,តោន/ហ.ត
13,,ការងារផលិតអំបិល,,,,បរិមាណផលិតផលអំបិលក្នុងឆ្នាំ,,ហ.ត
14,,ស្រូវប្រាំង,,,,សរុបផ្ទៃដីស្រូវប្រាំងក្នុងឃុំ (ដូចបន្ទាត់លេខ 8.1),,ហ.ត
15,,ស្រូវប្រាំង,,,,ផ្ទៃដីស្រែប្រាំងទទួលបានទឹកពីប្រព័ន្ឋស្រោចស្រព,,ហ.ត
16,,ស្រូវប្រាំង,,,,ផ្ទៃដីដែលបានដាំដុះស្រូវប្រាំងជាក់ស្តែង,,ហ.ត
17,,ស្រូវប្រាំង,,,,ទិន្នផលស្រូវប្រាំងជាមធ្យមក្នុងមួយហិកតា,,តោន/ហ.ត
18,,ស្រូវប្រាំង,,,,សរុបបរិមាណផលិតផលស្រូវប្រាំង (ប៉ាន់ស្មានក្នុងឆ្នាំ),,ហ.ត
19,,ស្រូវវស្សា,,,,សរុបផ្ទៃដីស្រូវវស្សាក្នុងឃុំ (ដូចបន្ទាត់លេខ 8. 2 ),,ហ.ត
20,,ស្រូវវស្សា,,,,ផ្ទៃដីស្រែវស្សាទទួលបានទឹកពីប្រព័ន្ឋស្រោចស្រព,,ហ.ត
21,,ស្រូវវស្សា,,,,ផ្ទៃដីដែលបានដាំដុះស្រូវវស្សាជាក់ស្ដែង,,ហ.ត
22,,ស្រូវវស្សា,,,,ទិន្នផលស្រូវវស្សាជាមធ្យមក្នុងមួយហិកតា,,តោន/ហ.ត
23,,ស្រូវវស្សា,,,,សរុបបរិមាណផលិតផលស្រូវវស្សា (ប៉ាន់ស្មានក្នុងឆ្នាំ),,ហ.ត
24,,ស្រូវបង្កើនរដូវ,,លើកទី១,,សរុបផ្ទៃដីដែលបានដាំដុះជាក់ស្ដែង,,ហ.ត
24,,ស្រូវបង្កើនរដូវ,,លើកទី២,,សរុបផ្ទៃដីដែលបានដាំដុះជាក់ស្ដែង,,ហ.ត
25,,ស្រូវបង្កើនរដូវ,,លើកទី១,,ទិន្នផលស្រូវជាមធ្យមក្នុងមួយហិកតា,,តោន/ហ.ត
25,,ស្រូវបង្កើនរដូវ,,លើកទី២,,ទិន្នផលស្រូវជាមធ្យមក្នុងមួយហិកតា,,តោន/ហ.ត
