no,short_code,question_en,question_kh,description,unit_en,unit_kh,group_en,group_kh,validate_rule
1,FAMILY,Total number of families,ចំនួនគ្រួសារសរុបក្នុងភូមិ,Total number of families,People,នាក់,Population and Education,ស្ថិតិគ្រួសារ,
2,F_HHH,# Female household headed,ក្នុងនោះចំនួនគ្រួសារដែលមានស្រី្តជាមេគ្រួសារ,# Female household headed,People,នាក់,Population and Education,ស្ថិតិគ្រួសារ,
3,MAL_0_2,0-2,0-2 ឆ្នាំ,# Boys 0-2 years old,People,នាក់,Male & Education,ស្ថិតិមនុស្សប្រុសនិងការអប់រំ,
4,MAL_3_4,3-4,3-4 ឆ្នាំ,# Boys 3-4 years old,People,នាក់,Male & Education,ស្ថិតិមនុស្សប្រុសនិងការអប់រំ,
4.a,M3_4Pre_S,3-4 Kindergarden,3-4 Kindergarden,# boy 3-4 ys who go to pre-school,People,នាក់,Male & Education,ស្ថិតិមនុស្សប្រុសនិងការអប់រំ,
5,MAL_5,5,5 ឆ្នាំ,# Boys 5 years old ,People,នាក់,Male & Education,ស្ថិតិមនុស្សប្រុសនិងការអប់រំ,
5.a,M5_Pre_S,5 Kindergarden,5 Kindergarden,# boy 5 ys who go to pre-school,People,នាក់,Male & Education,ស្ថិតិមនុស្សប្រុសនិងការអប់រំ,
6,MAL_6,6,6 ឆ្នាំ,# Boys 6 years old ,People,នាក់,Male & Education,ស្ថិតិមនុស្សប្រុសនិងការអប់រំ,
6.a,M6_go_PreSCH,6,6,# Boys 6 ys who go to PRE-school,People,នាក់,Male & Education,ស្ថិតិមនុស្សប្រុសនិងការអប់រំ,
6.b,M6_go_prime,6,6,# Boys 6 ys who go to PRIMARY school,People,នាក់,Male & Education,ស្ថិតិមនុស្សប្រុសនិងការអប់រំ,
7,MAL_7_11,7-11,7-11 ឆ្នាំ,# Boys 7-11 years old,People,នាក់,Male & Education,ស្ថិតិមនុស្សប្រុសនិងការអប់រំ,
7.a,M7_11_go_prime,7-11 Primary,7-11 Primary,# Boys 7-11 ys who go to PRIMARY school,People,នាក់,Male & Education,ស្ថិតិមនុស្សប្រុសនិងការអប់រំ,
8,MAL_12_14,12-14,12-14 ឆ្នាំ,# Boys 12-14 years old,People,នាក់,Male & Education,ស្ថិតិមនុស្សប្រុសនិងការអប់រំ,
